File,SAI object,SAI API,Python Thrift function
inc/sai.h,SAI_OBJECT_TYPE_NULL,sai_profile_get_next_value,
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_COUNTER,sai_create_acl_counter,sai_thrift_create_acl_counter
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_COUNTER,sai_get_acl_counter_attribute,sai_thrift_get_acl_counter_attribute
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_COUNTER,sai_remove_acl_counter,sai_thrift_remove_acl_counter
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_COUNTER,sai_set_acl_counter_attribute,
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_ENTRY,sai_create_acl_entry,sai_thrift_create_acl_entry
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_ENTRY,sai_get_acl_entry_attribute,
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_ENTRY,sai_remove_acl_entry,sai_thrift_remove_acl_entry
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_ENTRY,sai_set_acl_entry_attribute,
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_RANGE,sai_create_acl_range,
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_RANGE,sai_get_acl_range_attribute,
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_RANGE,sai_remove_acl_range,
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_RANGE,sai_set_acl_range_attribute,
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_TABLE,sai_create_acl_table,sai_thrift_create_acl_table
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_TABLE,sai_get_acl_table_attribute,
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_TABLE,sai_remove_acl_table,sai_thrift_remove_acl_table
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_TABLE,sai_set_acl_table_attribute,
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_TABLE_CHAIN_GROUP,sai_create_acl_table_chain_group,
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_TABLE_CHAIN_GROUP,sai_get_acl_table_chain_group_attribute,
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_TABLE_CHAIN_GROUP,sai_remove_acl_table_chain_group,
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_TABLE_CHAIN_GROUP,sai_set_acl_table_chain_group_attribute,
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_TABLE_GROUP,sai_create_acl_table_group,sai_thrift_create_acl_table_group
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_TABLE_GROUP,sai_get_acl_table_group_attribute,
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_TABLE_GROUP,sai_remove_acl_table_group,sai_thrift_remove_acl_table_group
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_TABLE_GROUP,sai_set_acl_table_group_attribute,
inc/saiacl.h,SAI_OBJECT_TYPE_ACL_TABLE_GROUP_MEMBER,sai_create_acl_table_group_member,sai_thrift_create_acl_table_group_member
