Attribute name,Type,Default value,mandatory
SAI_ACL_TABLE_GROUP_ATTR_ACL_STAGE,sai_acl_stage_t,SAI_ACL_STAGE_INGRESS,TRUE
SAI_ACL_TABLE_GROUP_ATTR_ACL_BIND_POINT_TYPE_LIST,sai_s32_list_t sai_acl_bind_point_type_t,empty,FALSE
SAI_ACL_TABLE_GROUP_ATTR_TYPE,sai_acl_table_group_type_t,SAI_ACL_TABLE_GROUP_TYPE_SEQUENTIAL,FALSE
SAI_ACL_TABLE_GROUP_ATTR_MEMBER_LIST,sai_object_list_t,empty list,FALSE
SAI_ACL_TABLE_GROUP_ATTR_CHAIN_GROUP_LIST,sai_object_list_t,empty list,FALSE
SAI_ACL_TABLE_CHAIN_GROUP_ATTR_TYPE,sai_acl_table_chain_group_type_t,SAI_ACL_TABLE_CHAIN_GROUP_TYPE_SEQUENTIAL,FALSE
SAI_ACL_TABLE_CHAIN_GROUP_ATTR_STAGE,sai_acl_table_chain_group_stage_t,SAI_ACL_TABLE_CHAIN_GROUP_STAGE_0,FALSE
SAI_ACL_TABLE_GROUP_MEMBER_ATTR_ACL_TABLE_GROUP_ID,sai_object_id_t,SAI_NULL_OBJECT_ID,TRUE
SAI_ACL_TABLE_GROUP_MEMBER_ATTR_ACL_TABLE_ID,sai_object_id_t,SAI_NULL_OBJECT_ID,TRUE
SAI_ACL_TABLE_GROUP_MEMBER_ATTR_PRIORITY,sai_uint32_t,0,TRUE
SAI_ACL_TABLE_GROUP_MEMBER_ATTR_ACL_TABLE_CHAIN_GROUP_ID,sai_object_id_t,SAI_NULL_OBJECT_ID,FALSE
SAI_ACL_TABLE_ATTR_ACL_STAGE,sai_acl_stage_t,SAI_ACL_STAGE_INGRESS,TRUE
SAI_ACL_TABLE_ATTR_ACL_BIND_POINT_TYPE_LIST,sai_s32_list_t sai_acl_bind_point_type_t,empty,FALSE
SAI_ACL_TABLE_ATTR_SIZE,sai_uint32_t,0,FALSE
SAI_ACL_TABLE_ATTR_ACL_ACTION_TYPE_LIST,sai_s32_list_t sai_acl_action_type_t,empty,FALSE
SAI_ACL_TABLE_ATTR_FIELD_SRC_IPV6,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_SRC_IPV6_WORD3,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_SRC_IPV6_WORD2,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_SRC_IPV6_WORD1,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_SRC_IPV6_WORD0,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_DST_IPV6,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_DST_IPV6_WORD3,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_DST_IPV6_WORD2,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_DST_IPV6_WORD1,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_DST_IPV6_WORD0,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_INNER_SRC_IPV6,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_INNER_DST_IPV6,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_SRC_MAC,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_DST_MAC,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_SRC_IP,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_DST_IP,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_INNER_SRC_IP,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_INNER_DST_IP,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_IN_PORTS,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_OUT_PORTS,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_IN_PORT,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_OUT_PORT,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_SRC_PORT,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_OUTER_VLAN_ID,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_OUTER_VLAN_PRI,bool,FALSE,FALSE
